Year,Arius_spp1,Brachydeuterus_auritus_1,Pseudotolithus_spp1,Sparidae_1,Cephalopholis_Taeniops_1,Diplodus_spp1,Palinurus_charlestoni_1,Pseudupeneus_prayensis_1,Seriola_spp_1,Pseudotolithus_spp_3,Arius_spp_3,Cynoglossus_spp_3,Dentex_spp_3,Galeoides_decadactylus_3,Pagellus_spp_3,Pomadasys_spp_3,Galeoides_decadactylus_4,Arius_spp_4,Brachydeuterus_auritus_4,Cynoglossus_spp_4,Dentex_macrophthalmus_4,Dentex_spp_4,Merluccius_polli_4,Pagellus_bellottii_4,Pomadasys_spp_4,Pseudotolithus_spp_4,Parapenaeus_longirostris_5,Penaeus_notialis_5,Aristeus_varidens_5,Sepia_spp_6
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,19419,333,490,NA,330,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5469,5989,NA,6418
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,25625,572,551,NA,507,NA,2732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4558,6586,NA,7008
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,22730,313,726,NA,543,NA,3050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4309,8620,NA,2925
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,13644,355,912,NA,333,NA,4194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4526,7374,NA,2303
1994,2919,NA,2388,2165,NA,NA,NA,NA,NA,14449,162,561,NA,33,NA,5235,NA,NA,NA,692,NA,NA,NA,NA,NA,NA,6270,6371,NA,3289
1995,7294,548,8036,6744,NA,NA,NA,NA,NA,17781,477,2799,NA,2189,NA,NA,2825,231,524,1225,1525,2462,370,NA,1492,8682,4262,2860,NA,9849
1996,7637,1150,6444,7081,214,74,NA,110,76,18343,462,1789,NA,6124,NA,NA,4211,1681,800,918,1105,1715,456,NA,953,8342,5399,3284,NA,9733
1997,6636,156,8075,6238,253,106,NA,94,69,21272,187,1686,NA,9788,NA,NA,3265,1196,229,2156,1508,1573,360,161,1270,7137,5922,2187,NA,10303
1998,6774,649,6182,5697,275,88,NA,88,51,18765,337,2279,NA,2343,NA,NA,4287,458,934,1896,6223,5336,1032,130,1901,14626,3846,3764,NA,8521
1999,5721,516,6481,5980,307,60,20,85,71,16957,586,4599,NA,3031,NA,2141,4316,1207,934,1658,8020,5944,516,44,1413,16680,2571,3253,NA,8943
2000,12199,383,10109,5663,356,93,10,131,81,17501,322,7292,NA,4286,NA,5152,4065,839,1492,1921,6936,5193,360,14,2608,13812,5739,4268,NA,7759
2001,11995,219,10008,8699,248,60,13,119,61,19005,365,7234,363,5142,NA,4805,4322,1114,1495,2448,9394,7003,1034,33,2796,13947,5806,3588,NA,10545
2002,10223,281,8695,6781,259,57,5,105,57,13553,343,2913,363,4821,155,3352,5067,498,2164,1762,8226,6304,1207,17,2462,18543,5237,3144,1370,12182
2003,23191,1917,9170,8406,252,56,7,103,56,16687,848,7525,380,6357,530,5132,3780,1031,1750,1811,10526,7890,2518,135,1759,23330,4425,4955,1415,12085
2004,14376,3542,9032,7687,243,54,16,99,54,16164,516,6641,688,4821,212,4275,4403,894,3787,1961,14857,10996,6107,72,1365,29672,2797,3415,946,10263
2005,13959,4856,9442,5756,270,121,11,43,61,12369,518,9054,855,4090,96,8559,2493,570,3962,1297,14660,10742,4308,39,1185,16848,3728,2263,171,6807
2006,10517,2228,9375,8667,286,51,9,41,64,14292,497,8398,353,6344,337,4473,2372,559,3342,1172,13985,9916,4433,5,1034,24763,4128,2270,576,11022
2007,14335,3188,6197,8909,233,42,9,20,87,12935,424,7564,777,4683,912,4278,1772,547,4793,1003,19081,13289,4183,79,912,35721,2603,2463,1040,8995
2008,18358,591,6907,8818,239,40,4,30,99,14437,591,8123,583,5474,453,4375,9230,502,4309,1170,21003,4900,4756,108,3826,55643,2420,1248,1154,7345
2009,16354,61,10283,12400,246,27,8,33,118,13427,1144,6610,485,5290,612,4631,12639,343,3304,1360,20217,4516,4393,211,7495,38159,2496,551,551,9639
2010,15173,1062,8017,10235,294,27,7,47,105,8719,111,17021,368,4994,790,4902,9825,413,3799,1731,17820,5099,4675,188,6778,24872,2323,566,459,6551
2011,18829,571,7670,9840,219,22,22,43,87,10963,200,22402,281,6006,46,5402,5774,341,3640,1798,23576,583,3030,825,4407,27412,2247,1509,549,7604
2012,10660,42,5342,15311,250,22,20,55,112,12047,430,19336,254,6377,10,6433,4105,210,2147,1810,2420,520,9525,1462,2784,26438,2397,1698,575,9385
2013,12548,247,5413,17373,330,38,28,63,98,15531,72,23658,296,7119,35,7091,4297,109,8759,1924,22560,395,14252,1556,2779,9962,2661,3818,1031,7838
2014,12758,29,4288,14843,261,29,8,72,97,16815,345,25536,359,5870,59,8721,4994,666,2756,2738,13776,715,10145,1936,3780,19746,4083,1395,2012,6364
2015,21639,101,5121,17950,269,37,5,90,131,17190,280,26018,216,7336,39,8362,3891,260,10374,1469,12350,657,12642,394,2171,8682,3692,8851,2283,5797
2016,25844,233,3643,15577,276,29,NA,62,105,15947,367,23205,110,6479,13,7202,5850,47,6872,2131,11146,657,12180,129,1696,17152,3632,1984,2110,7225
2017,30361,1015,17437,17262,263,41,NA,119,136,23265,501,10958,NA,10773,NA,9034,3629,309,3867,1885,13293,967,12066,3045,2035,22461,3376,1113,2261,4714
2018,38585,415,10208,14792,268,26,NA,136,218,24665,571,10240,NA,10882,NA,8627,3050,468,4574,1594,12091,911,1121,1387,1693,13596,2418,1034,2044,8600
2019,36101,1108,10019,19773,170,25,NA,52,113,22602,499,9785,NA,9995,NA,8120,2766,539,6061,698,13130,907,10749,1076,2632,10873,2723,1694,2760,6039
2020,36435,1524,16537,21193,NA,NA,NA,NA,NA,20420,412,9164,NA,9438,NA,7707,1474,322,7358,702,11074,657,12517,155,2621,12355,3821,960,1061,3478
2021,51771,2364,15133,12531,NA,NA,NA,NA,NA,21263,679,9588,NA,9796,NA,7914,2746,597,9254,309,12943,663,12889,205,4063,14411,2164,1924,1004,8009
